ID,Project Name,Camera Trap Name,Latitude,Longitude,X,Y,Sampling Event,Photo Type,Photo Date,Photo time,Time_2,Specie,Sex,Number of Animals,Camera Start Date,Camera End Date,Esfuerzo muestreo
49,Selva Lacandona,Cam-5 integro,16.84193306,91.1306,673672,1860206,Mastofauna ,Animal,13/05/22,6:23:13,0.266123,Crax rubra,s/i,1,12/04/22,28/05/22,46
47,Selva Lacandona,Cam-4 degradado,16.8181,91.38299972,672303,1860136,Mastofauna ,Animal,08/03/22,6:23:19,0.266192,Crax rubra,s/i,1,27/01/22,23/03/22,55
46,Selva Lacandona,CAM-4 INTEGRO SEPT,16.7577,91.1902,673225,1860899,Mastofauna ,Animal,20/11/23,6:45:45,0.281771,Crax rubra,s/i,1,31/08/23,06/12/23,97
12,Selva Lacandona,CAM-4 INTEGRO SEPT,16.7577,91.1902,673225,1860899,Mastofauna ,Animal,20/11/23,6:46:10,0.28206,Crax rubra,Female,1,31/08/23,06/12/23,97
13,Selva Lacandona,CAM-4 INTEGRO SEPT,16.7577,91.1902,673225,1860899,Mastofauna ,Animal,20/11/23,6:46:10,0.28206,Crax rubra,Female,1,31/08/23,06/12/23,97
51,Selva Lacandona,Cam-1 integro dic,16.77386667,91.18,693985,1855429,Mastofauna ,Animal,26/12/21,7:08:16,0.297407,Crax rubra,s/i,1,12/12/21,08/01/22,27
52,Selva Lacandona,Cam-1 integro dic,16.77386667,91.18,693985,1855429,Mastofauna ,Animal,27/12/21,7:15:45,0.302604,Crax rubra,s/i,1,12/12/21,08/01/22,27
26,Selva Lacandona,CAM-1 INTEGRO SEPT,16.753,91.1837,698773,1862812,Mastofauna ,Animal,03/12/23,7:40:35,0.31985,Crax rubra,s/i,1,31/08/23,06/12/23,97
1,Selva Lacandona,CAM-1 INTEGRO SEPT,16.753,91.1837,698773,1862812,Mastofauna ,Animal,03/12/23,7:40:58,0.320116,Crax rubra,Female,1,31/08/23,06/12/23,97
2,Selva Lacandona,CAM-1 INTEGRO SEPT,16.753,91.1837,698773,1862812,Mastofauna ,Animal,03/12/23,7:40:58,0.320116,Crax rubra,Male,1,31/08/23,06/12/23,97
57,Selva Lacandona,Cam-1 integro dic,16.77386667,91.18,693985,1855429,Mastofauna ,Animal,08/01/22,7:45:02,0.32294,Crax rubra,s/i,1,12/12/21,08/01/22,27
42,Selva Lacandona,Cam-4 integro dic,16.76279972,91.17809972,694199,1854206,Mastofauna ,Animal,15/12/21,8:01:24,0.334306,Crax rubra,s/i,1,09/12/21,10/01/22,32
31,Selva Lacandona,CAM-2 INTEGRO SEPT,16.7572,91.177,698309,1863253,Mastofauna ,Animal,01/12/23,8:38:00,0.359722,Crax rubra,s/i,1,30/08/23,06/12/23,98
7,Selva Lacandona,CAM-2 INTEGRO SEPT,16.7572,91.177,698309,1863253,Mastofauna ,Animal,01/12/23,8:38:01,0.359734,Crax rubra,Female,1,30/08/23,06/12/23,98
33,Selva Lacandona,CAM-1 INTEGRO JULIO,16.8434,91.1329,698934,1863171,Mastofauna ,Animal,09/07/23,8:40:48,0.361667,Crax rubra,s/i,1,01/07/23,26/07/23,25
98,El Zapotal,Zoomat10,16.72577,-93.09677,489685,1849221,Mastofauna ,Animal,15/04/23,6:17:18,0.262014,Crax rubra,Male,1,04/04/23,24/04/23,20
100,El Zapotal,Zoomat10,16.72577,-93.09677,489685,1849221,Mastofauna ,Animal,16/04/23,6:23:36,0.266389,Crax rubra,Female,1,04/04/23,24/04/23,20
112,El Zapotal,Zoomat10,16.72577,-93.09677,489685,1849221,Mastofauna ,Animal,22/04/23,6:32:04,0.272269,Crax rubra,Female,1,04/04/23,24/04/23,20
110,El Zapotal,Zoomat10,16.72577,-93.09677,489685,1849221,Mastofauna ,Animal,21/04/23,6:37:17,0.275891,Crax rubra,Female,1,04/04/23,24/04/23,20
102,El Zapotal,Zoomat10,16.72577,-93.09677,489685,1849221,Mastofauna ,Animal,17/04/23,6:39:04,0.27713,Crax rubra,Male,1,04/04/23,24/04/23,20
103,El Zapotal,Zoomat10,16.72577,-93.09677,489685,1849221,Mastofauna ,Animal,17/04/23,6:39:06,0.277153,Crax rubra,Female,1,04/04/23,24/04/23,20
114,El Zapotal,Zoomat10,16.72577,-93.09677,489685,1849221,Mastofauna ,Animal,23/04/23,6:49:33,0.28441,Crax rubra,Male,1,04/04/23,24/04/23,20
94,El Zapotal,Zoomat10,16.72577,-93.09677,489685,1849221,Mastofauna ,Animal,12/04/23,6:50:19,0.284942,Crax rubra,Male,1,04/04/23,24/04/23,20
64,El Zapotal,Zoomat5,16.72235,-93.09858,489491,1848843,Mastofauna ,Animal,20/02/23,6:51:51,0.286007,Crax rubra,Male,1,18/02/23,04/03/23,14
95,El Zapotal,Zoomat10,16.72577,-93.09677,489685,1849221,Mastofauna ,Animal,14/04/23,6:57:40,0.290046,Crax rubra,Female,1,04/04/23,24/04/23,20
83,El Zapotal,Zoomat3,16.71933,-93.10155,489175,1848509,Mastofauna ,Animal,03/03/23,6:58:01,0.290289,Crax rubra,Male,1,18/02/23,04/03/23,14
84,El Zapotal,Zoomat3,16.71933,-93.10155,489175,1848509,Mastofauna ,Animal,03/03/23,6:58:01,0.290289,Crax rubra,Female,1,18/02/23,04/03/23,14
88,El Zapotal,Zoomat5,16.72235,-93.09858,489491,1848843,Mastofauna ,Animal,04/03/23,7:05:54,0.295764,Crax rubra,Female,1,18/02/23,04/03/23,14
101,El Zapotal,Zoomat10,16.72577,-93.09677,489685,1849221,Mastofauna ,Animal,16/04/23,7:11:01,0.299317,Crax rubra,Female,1,04/04/23,24/04/23,20
89,El Zapotal,Zoomat10,16.72577,-93.09677,489685,1849221,Mastofauna ,Animal,05/04/23,7:19:04,0.304907,Crax rubra,Male,1,04/04/23,24/04/23,20
